canon,variant
Condensed Milk,condensed milk flavouring
Condensed Milk,sweetened condensed skimmed milk
Condiments,condiments
Condiments,seasoning masala mix spices and condiments spice oleoreins
Condiments,ground spices and condiments iodised salt
Condiments,spices and condiments iodised salt
Condiments,seasoning condiments
Condiments,spices and condiments chaat masala
Cooling Flavouring,cooling flavouring
Copper,copper sulphate
Copper,cupric sulphate
Coriander (Dhania),coriander
Coriander (Dhania),coriander dhaniya powder
Coriander (Dhania),coriander extract
Coriander (Dhania),coriander leaves
Coriander (Dhania),coriander powder
Coriander (Dhania),coriander puree
Coriander (Dhania),coriander seed
Coriander (Dhania),coriander seeds
Coriander (Dhania),coriander seeds coriandrum sativum
Coriander (Dhania),coriander whole
Coriander (Dhania),corinader
Coriander (Dhania),dhanayaka
Coriander (Dhania),dhanayaka dhania coriandrum sativum fr
Coriander (Dhania),dhania
Coriander (Dhania),dried coriander leaves
Coriander (Dhania),ground coriander seeds
Coriander (Dhania),ground spices and condiments coriander
Coriander (Dhania),mix spices coriander powder
Coriander (Dhania),mixed spices coriander
Coriander (Dhania),mixed spices coriander extract
Coriander (Dhania),mixed spices coriander leaves
Coriander (Dhania),mixed spices coriander powder
Coriander (Dhania),mixed spices roasted spice powder coriander
Coriander (Dhania),salt with spices and condiments cumin safe zeera
Coriander (Dhania),seasoning masala mix spices and condiments coriander
Coriander (Dhania),seasoning mix spices coriander
Coriander (Dhania),spices coriander
Coriander (Dhania),spices coriander cloves
Coriander (Dhania),spices coriander powder
Coriander (Dhania),spices dehydrated coriander leaves
Coriander (Dhania),spices and condiments coriander
Coriander (Dhania),spices and condiments coriander powder
Coriander (Dhania),spices and condiments coriander seed powder
Coriander (Dhania),vegetables coriander puree
Corn,corn
Corn,corn flakes
Corn,corn meal
Corn,corn solids hydrolyzed
Corn,cornflakes corn
Corn,cornmeal
Corn,cereal products corn meal
Corn,degermed corn grits
Corn,dehydrated corn
Corn,dehydrated vegetables sweet corn
Corn,sweet corn
Corn,vegetables sweet corn
Corn Flour,batter corn flour
Corn Flour,corn flour
Corn Flour,maize flour
Corn Flour,seasoning maize flour
Corn Oil,corn oil
Corn Oil,edible vegetable oil corn
Corn Oil,edible vegetable oil corn oil
Corn Oil,toasted onion flakes onion and corn oil
Corn Oil,vegetable oil corn
Corn Oil,vegetable oil corn oil
Corn Starch,batter corn starch
Corn Starch,batter cornflour
Corn Starch,corn starch
Corn Starch,honey bbq seasoning corn starch
Corn Starch,maize starch
Corn Starch,modified maize starch
Corn Starch,potas starch
Corn Starch,seasoning corn starch
Cottonseed Oil,cottonseed oil
Cottonseed Oil,edible vegetable oil cotton seed
Cottonseed Oil,edible vegetable oil cottonseed
Cottonseed Oil,edible vegetable oil cottonseed oil
Cottonseed Oil,edible vegetable oil refined cottonseed oil
Cottonseed Oil,refined cotton seed oil
Cottonseed Oil,refined cottonseed oil
Cottonseed Oil,vegetable oil cotton seed
Cottonseed Oil,vegetable oil cottonseed
Cow Milk,cow fat
Cow Milk,cow milk
Cranberry,cranberries
Cranberry,cranberry
Cranberry,cranberry flavouring
Cranberry,cranberry juice concentrate
Cranberry,cranberry pulp
Cranberry,dehydrated fruits cranberry
Cranberry,dried sweetened cranberries cranberries
Cranberry,dried sweetened cranberries sugar
Cranberry,mixed berries candied cranberry
Cream,cream
Cream,cream milk
Cream,milk cream
Cream,tikka masala seasoning cream
Cream,tikka masala seasoning sour cream cultured cream
Cucumber Seeds,cucumber seed ins 396
Cucumber Seeds,cucumber seeds
Cumin (Jeera),bi cumin seed
Cumin (Jeera),cumin
Cumin (Jeera),cumin extract
Cumin (Jeera),cumin powder
Cumin (Jeera),cumin seed jeera
Cumin (Jeera),cumin seeds
Cumin (Jeera),cumin whole
Cumin (Jeera),extracts and oils cumin
Cumin (Jeera),ground cumin
Cumin (Jeera),ground spices and condiments cumin
Cumin (Jeera),jeera
Cumin (Jeera),jeera powder
Cumin (Jeera),jeera seeds
Cumin (Jeera),jeeraka cumin seeds
Cumin (Jeera),jeeraka cummin seeds
Cumin (Jeera),mix spices cumin powder
Cumin (Jeera),mixed spices cumin
Cumin (Jeera),mixed spices cumin extract
Cumin (Jeera),mixed spices cumin powder
Cumin (Jeera),mixed spices cumin seeds powder
Cumin (Jeera),mixed spices cuminextract
Cumin (Jeera),mixed spices roasted spice powder cumin
Cumin (Jeera),roasted cumin seeds
Cumin (Jeera),seasoning masala mix spices and condiments cumin
Cumin (Jeera),seasoning mix spices cumin
Cumin (Jeera),shveta jiraka
Cumin (Jeera),shveta jiraka safed jeera
Cumin (Jeera),spices cumin
Cumin (Jeera),spices cumin powder
Cumin (Jeera),spices cumin seeds
Cumin (Jeera),spices roasted cumin seeds
Cumin (Jeera),spices and condiments cumin
Cumin (Jeera),spices and condiments cumin powder
Cumin (Jeera),spices and condiments roasted cumin powder
Cumin (Jeera),tikka masala seasoning spices cumin
Curd,curd
Curd,toned milk dahi
Curd,toned milk dahi milk solids
Curd,toned milk dahi starter culture
Curd,yoghurt
Curd,yoghurt milk
Curry Leaf,curry ieaves
Curry Leaf,curry leaf
Curry Leaf,curry leaves
Curry Leaf,curry ves garlic
Curry Leaf,spices curry leaves
Cyanocobalamin,cyanocobalamin
Dairy Whitener,dairy whitener
Dates,date paste
Dates,date powder
Dates,date syrup
Dates,dates
Dates,dates powder
Dates,dehydrated fruits dates powder
Dates,dryfruits dates
Dates,fruits dates paste
Dessert,dessert
Dessert,frozen dessert water
Dextrin,batter dextrin
Dextrin,dextrin
DHA,dha
DHA,vegan dha
Diluent (INS 1520),diluent ins 1520
Diphosphates (INS 450),stabilizer ins 450 (iii)
Diphosphates (INS 450),stabilizer ins 450
Disodium Guanylate (INS 627),dried vegetables flavour enhancer ins 627
Disodium Guanylate (INS 627),flavour enhancer disodium 5'- guanylate
Disodium Guanylate (INS 627),flavour enhancer disodium guanylate
Disodium Guanylate (INS 627),flavour enhancer ins 627
Disodium Guanylate (INS 627),mixed masala powder flavour enhancer ins 627
Disodium Guanylate (INS 627),seasoning disodium guanylate
Disodium Guanylate (INS 627),seasoning flavour enhancer ins 627
Disodium Inosinate (INS 631),dried vegetables flavour enhancer ins 631
Disodium Inosinate (INS 631),flavour enhancer disodium inosinate
Disodium Inosinate (INS 631),flavour enhancer ins 631
Disodium Inosinate (INS 631),ins 631
Disodium Inosinate (INS 631),mixed masala powder flavour enhancer ins 631
Disodium Inosinate (INS 631),seasoning disodium inosinate
Disodium Inosinate (INS 631),seasoning flavour enhancer ins 631
DL-Alpha-Tocopherol,antioxidant dl-alpha-tocopherol
DL-Alpha-Tocopherol,dl-alpha-tocopheryl acetate
Edible Gum,edible gum
Edible Gum,gum arabic
Edible Gum,honey bbq seasoning gum arabic
Edible Gum,mixed masala powder stabilizer ins 414
Edible Gum,stabilizer ins 414
Edible Gum,emulsifier ins 414
Edible Gum,stabilizer ins 418
Edible Starch,edible starch
Edible Starch,starch
Edible Starch,wheat cocoa crispy balls edible starch
Edible Starch,potato starch
Edible Starch,unmodified potato starch
Edible Starch,carrot cereal mix pieces starch
Edible Vegetable Fat,centre fractionated fat
Edible Vegetable Fat,edible vegetable fat
Edible Vegetable Fat,edible vegetable fat interesterified palm kernel oil
Edible Vegetable Fat,edible vegetable fat interesterified palm oil
Edible Vegetable Fat,edible vegetable fats
Edible Vegetable Fat,fractionated fat
Edible Vegetable Fat,fractionated vegetable fat
Edible Vegetable Fat,fractionated vegetable fats
Edible Vegetable Fat,hydrogenated edible vegetable fat
Edible Vegetable Fat,hydrogenated oils
Edible Vegetable Fat,hydrogenated palm fat
Edible Vegetable Fat,hydrogenated vegetable fat
Edible Vegetable Fat,hydrogenated vegetable fats
Edible Vegetable Fat,hydrogenated vegetable fats sesame oil
Edible Vegetable Fat,interesterified vegetable fat
Edible Vegetable Fat,interesterified vegetable fat palm oil
Edible Vegetable Fat,interesterified vegetable fat sesame oil
Edible Vegetable Fat,partially hydrogenated refined vegetable oils
Edible Vegetable Fat,vegetable fat
Edible Vegetable Fat,vegetable fats
Edible Vegetable Fat,vegetable fats illipe
Edible Vegetable Fat,vegetable fats kokum gurgi
Edible Vegetable Fat,vegetable fats mango kernel
Edible Vegetable Fat,vegetable fats palm
Edible Vegetable Fat,vegetable fats palm kernel
Edible Vegetable Fat,vegetable fats sal
Edible Vegetable Fat,vegetable fats shea
Edible Vegetable Fat,vegetable fats shea illie mango kernel kokum gurgi sal
Edible Vegetable Fat,hydrogenated vegetable oil
Edible Vegetable Oil,edible oil
Edible Vegetable Oil,edible vegetable oil
Edible Vegetable Oil,edible vegeteble oil
Edible Vegetable Oil,oil
Edible Vegetable Oil,oils
Edible Vegetable Oil,refined vegetable oil
Edible Vegetable Oil,vegetable oil
Edible Vegetable Oil,vegetable oils
Edible Vegetable Oil,seasoning vegetable oil
Edible Vegetable Oil,vegetable oil canola
Edible Vegetable Oil,vegetable oil peanut
Egg,egg
Egg,egg white
Egg,egg white powder
Electrolytes,electrolytes
Emulsifier,emulsfying
Emulsifier,emulsifier
Emulsifier,emulsifiers
Emulsifier,dried brownie and cookie pieces emulsifier ins 322
Emulsifier,potato flakes emulsifier sodium acid pyrophosphate
Emulsifier (INS 433),emulsifier ins 433
Emulsifier (INS 442),cadbury dairy milk emulsifier ins 442
Emulsifier (INS 442),emulsifier ins 442
Emulsifier (INS 445),emulsifier ins 445
Emulsifier (INS 445),stabilizer ins 445
Emulsifier (INS 475),emulsifier ins 475
Emulsifier (INS 476),cadbury dairy milk emulsifier ins 476
Emulsifier (INS 476),chocolate syrup emulsifier ins 476
Emulsifier (INS 476),emulsifier ins 476
Emulsifier (INS 476),emulsifier pgpr
Emulsifier (INS 477),emulsifier ins 477
Emulsifier (INS 477),inner layer ice cream emulsifier ins 477
Emulsifier (INS 492),emulsifier ins 492
Energy,energy
Ergocalciferol,ergocalciferol
Essential Oils,essential oils
Fat,fat
Fat,fat powder
Fat,saturated fat
Fat,total fat
Fennel (Saunf),fennel
Fennel (Saunf),fennel seed
Fennel (Saunf),fennel seed saunf
Fennel (Saunf),fennel seeds
Fennel (Saunf),mixed spices fennel
Fennel (Saunf),mixed spices fennel powder
Fennel (Saunf),organic fennel seed
Fennel (Saunf),saunf fennel seeds
Fennel (Saunf),spices fennel seeds
Fennel (Saunf),spices and condiments fennel
Fennel (Saunf),spices and condiments fennel powder
Fennel (Saunf),spices and condiments finnel powder
Fenugreek (Methi),dehydrated fenugreek leaves
Fenugreek (Methi),dehydrated kasuri methi leaves
Fenugreek (Methi),dried fenugreek leaves
Fenugreek (Methi),fenugreek
Fenugreek (Methi),fenugreek leaves
Fenugreek (Methi),fenugreek powder
Fenugreek (Methi),fenugreek seeds
Fenugreek (Methi),kasuri methi dried fenugreek leaves
Fenugreek (Methi),mix spices fenugreek seed powder and ginger powder
Fenugreek (Methi),mixed spices fenugreek
Fenugreek (Methi),mixed spices fenugreek powder
Fenugreek (Methi),mixed spices kasuri methi
Fenugreek (Methi),mixed spices roasted spice powder fenugreek
Fenugreek (Methi),si fenugreek
Fenugreek (Methi),spices dehydrated kasuri methi leaves
Fenugreek (Methi),spices dried fenugreek leaves
Fenugreek (Methi),spices fenugreek
Fenugreek (Methi),spices and condiments fenugreek
Fenugreek (Methi),spices and condiments fenugreek leaf powder
Ferric Pyrophosphate,ferric pyrophosphate
Ferrous Sulphate,encapsulated ferrous sulphate
Ferrous Sulphate,ferrous sulphate
Fiber,fiber
Fiber,gluco fibre
Fiber,polydextrose
Fiber,polydextrose dietary fiber
Fillers,fillers colloidal silicon dioxide
Fillers,fillers croscarmellose sodium
Fillers,fillers magnesium stearate
Fillers,fillers polyvinyl pyrrolidone
Firming Agent,firming agent ins 170(i)
Flavour Enhancer,flavour enhancer
Flavour Enhancer (INS 508),flavour enhancer ins 508
Flavour Enhancer (INS 508),gelling agent ins 508
Flavour Enhancer (INS 508),potassium chloride gelling agent ins 508
Flavour Enhancer (INS 508),stabilizer ins 508
Flavour Enhancer (INS 508),thickener ins 508
Flavour Enhancer (INS 635),flavour enhancer ins 635
Flavour Enhancer (INS 635),flavour enhancer ins 6351
Flavour Enhancer (INS 635),seasoning flavour enhancer ins 635
Flavouring,cadbury dairy milk natural flavouring
Flavouring,cadbury dairy milk vanilla flavouring
Flavouring,flavouring
Flavouring,flavouring substance
Flavouring,flavouring substances
Flavouring,flavouring)
Flavouring,flavourings
Flavouring,flavourpowder
Flavouring,honey bbq seasoning flavouring
Flavouring,mixed masala powder flavouring
Flavouring,natural flavor
Flavouring,natural flavouring
Flavouring,seasoning flavouring
Flavouring,mixed fruit flavouring
Flavouring,batter flavouring
Flavouring,dried vegetables flavouring
Flavouring,chat masala flavouring
Flavouring,brownie flavouring
Flax Seeds,flax seed
Flax Seeds,flax seed powder
Flax Seeds,flax seeds
Flax Seeds,seeds flax
Flour,flour
Flour Treatment Agent (INS 1101),flour treatment agent ins 1101
Flour Treatment Agent (INS 1101),improver ins 1101
Flour Treatment Agent (INS 516),flour treatment agent ins 516
Folic Acid,folic acid
Folic Acid,pteroylmonoglutamic acid
Folic Acid,vitamins vitamin b9
Fractionated Fat,fractionated fat
French Beans,dehydrated vegetables french beans
French Beans,dried vegetables french beans
French Beans,french bean
French Beans,french beans
Fructo-oligosaccharide,fructo-oligosaccharide
Fructo-oligosaccharide,fructo-oligosaccharides
Fructo-oligosaccharide,fructo-oligosaccharides prebiotic fibre
Fructo-oligosaccharide,fructooligosaccharide
Fructo-oligosaccharide,milk solids minerals fructo-oligosaccharide
Fructo-oligosaccharide,prebiotic fibre fos
Fruit,fruit
Fruit,fruit alphonso mango
Fruit,fruit and vegetable blend
Fruit,fruit solids
Fruit,fruits
Fruit,preserved fruit
Fruit,glazed fruits
Fruit,mixed fruit concentrate
Fudge,fudge
Garam Masala,garam masala
Garcinia Cambogia,garcinia cambogia extract
Garlic,dehydrated garlic
Garlic,dehydrated garlic bits
Garlic,dehydrated garlic powder
Garlic,dried garlic
Garlic,fresh garlic
Garlic,garlic
Garlic,garlic flavouring
Garlic,garlic paste
Garlic,garlic powder
Garlic,ginger garlic paste
Garlic,ground spices and condiments dehydrated vegetable powder garlic
Garlic,honey bbq seasoning garlic powder
Garlic,mixed spices dried garlic
Garlic,mixed spices garlic
Garlic,mixed spices garlic powder
Garlic,salt with spices and condiments dehydrated garlic lahsun
Garlic,seasoning garlic powder
Garlic,seasoning masala mix spices and condiments dried garlic
Garlic,seasoning mix spices garlic
Garlic,spices dried garlic
Garlic,spices garlic
Garlic,spices garlic powder
Garlic,spices and condiments garlic
Garlic,spices and condiments garlic powder
Garlic,tikka masala seasoning garlic powder
Garlic,vegetables freshly minced garlic
Garlic,vegetables garlic
Garlic,vegetables garlic paste
Garlic,roasted garlic flakes
Garlic,mixed spices roasted garlic flakes
Ghee,clarified butter
Ghee,clarified butter milk fat desi ghee
Ghee,desi ghee
Ghee,ghee
Ghee,ghee clarified butter
Ghee,organic cow ghee desi cow ghee
Ginger,dried ginger
Ginger,dried ginger powder
Ginger,dry ginger
Ginger,dry ginger powder
Ginger,fresh ginger
Ginger,ginger
Ginger,ginger adrak
Ginger,ginger extract
Ginger,ginger garlic paste
Ginger,ginger paste
Ginger,ginger powder
Ginger,ginger whole
Ginger,ginger zingiber officinale rhizome
Ginger,ground spices and condiments ginger
Ginger,masala flavouring ginger
Ginger,mixed spices dried ginger
Ginger,mixed spices dried ginger powder
Ginger,mixed spices ginger
Ginger,mixed spices ginger powder
Ginger,mixed spices roasted spice powder ginger
Ginger,organic ginger rhizome
Ginger,organic ginger root
Ginger,salt with spices and condiments ginger adrak
Ginger,seasoning masala mix spices and condiments dried ginger
Ginger,seasoning mix spices ginger
Ginger,sonth dry ginger
Ginger,spices dried ginger
Ginger,spices ginger
Ginger,spices ginger powder
Ginger,spices and condiments dried ginger
Ginger,spices and condiments ginger
Ginger,spices and condiments ginger powder
Ginger,sunthi
Ginger,sunthi satva ginger
Glazing Agent (INS 903),glazing agent ins 903
Glucose Syrup,caramel sauce corn syrup
Glucose Syrup,carrot cereal mix pieces glucose syrup
Glucose Syrup,corn syrup
Glucose Syrup,dried glucose syrup
Glucose Syrup,dried glucose syrup contains gluten
Glucose Syrup,glucose syrup
Glucose Syrup,liquid glucose
Glucose Syrup,seasoning corn syrup solids
Glucose Syrup,topping sauce liquid glucose
Glucose Syrup,dried brownie and cookie pieces liquid glucose
Glucose Syrup,spinach rice flakes glucose syrup
Gluten,asafoetida powder gluten
Gluten,gluten
Gluten,wheat gluten
Gluten,dehydrated bread gluten
Glycerol (INS 422),humectant glycerol
Glycerol (INS 422),humectant ins 422
Glycerol Ester of Rosin,glycerol ester of rosin
Grape,concentrated fruit juices red grape
Grape,grape juice
Grape,grape pulp
Grape,grape seed extract
Green Apple,green apple
Green Cardamom (Elaichi),cardamom
Green Cardamom (Elaichi),cardamom amomum
Green Cardamom (Elaichi),cardamom elaichi
Green Cardamom (Elaichi),cardamom flavouring
Green Cardamom (Elaichi),cardamom green
Green Cardamom (Elaichi),cardamom powder
Green Cardamom (Elaichi),cardamom seed
Green Cardamom (Elaichi),cardamom seeds flavouring
Green Cardamom (Elaichi),cardamom whole
Green Cardamom (Elaichi),elaichi cardamom
Green Cardamom (Elaichi),elaichi cardamom extract
Green Cardamom (Elaichi),elaichi flavouring
Green Cardamom (Elaichi),green cardamom
Green Cardamom (Elaichi),green cardamom powder
Green Cardamom (Elaichi),ground spices and condiments cardamom
Green Cardamom (Elaichi),illaichi cardamom
Green Cardamom (Elaichi),kesar elaichi ripple
Green Cardamom (Elaichi),mix spices cardamom powder
Green Cardamom (Elaichi),mixed spices cardamom
Green Cardamom (Elaichi),mixed spices cardamom powder
Green Cardamom (Elaichi),mixed spices cardamom powder elaichi
Green Cardamom (Elaichi),mixed spices green cardamom powder
Green Cardamom (Elaichi),mixed spices roasted spice powder green cardamom
Green Cardamom (Elaichi),nuts cardamom
Green Cardamom (Elaichi),salt with spices and condiments cardamom choti elaichi
Green Cardamom (Elaichi),seasoning masala mix spices and condiments cardamom
Green Cardamom (Elaichi),small cardamom
Green Cardamom (Elaichi),spices cardamom
Green Cardamom (Elaichi),spices green cardamom powder
Green Cardamom (Elaichi),spices and condiments cardamom
Green Cardamom (Elaichi),spices and condiments green cardamom
Green Gram,green gram flakes
Green Gram,husked green gram
Green Gram,moong beans
Green Gram,moong dal
Green Gram,mung beans
Green Gram,split green gram
Green Gram,whole green moong
Green Peas,dehydrated vegetables green peas
Green Peas,dried vegetables green peas
Green Peas,green pea
Green Peas,green peas
Green Peas,peas
Green Peas,vegetable mix green peas
Green Peas,vegetables peas
Green Peas,dried vegetables peas
Green Tea,green tea
Green Tea,green tea camellia sinensis
Green Tea,green tea extract
Green Tea,green tea flavouring
Green Tea,green tea leaves
Green Tea,green tea leaves jasmine
Green Tea,organic green tea camellia sinensis
Groundnut Oil,edible vegetable oil ground nut
Groundnut Oil,edible vegetable oil groundnut oil
Groundnut Oil,groundnut oil
Groundnut Oil,refined groundnut oil
Guar Gum (INS 412),emulsifying agent ins 412
Guar Gum (INS 412),guar gum
Guar Gum (INS 412),stabilizer guar gum
Guar Gum (INS 412),stabilizer guar gum ins 412
Guar Gum (INS 412),stabilizer ins 412
Guar Gum (INS 412),stabilizing agent ins 412
Guar Gum (INS 412),thickener ins 412
Guar Gum (INS 412),thickening agent ins 412
Guar Gum (INS 412),inner layer ice cream stabilizer ins 412
Guar Gum (INS 412),chocolate flavoured confectionery stabilizer ins 412
Guava,dehydrated fruits guava
Guava,guava flavouring
Guava,guava juice
Guava,guava pulp
Guava,guava puree
Guava,guava puree concentrate
Hazelnut,chopped roasted hazelnuts
Hazelnut,hazelnut
Hazelnut,hazelnut flavouring
Hazelnut,hazelnut paste
Hazelnut,hazelnut pieces
Hazelnut,hazelnuts
Hazelnut,roasted hazelnuts
Herb,herb
Herb,herbs
Herb,seasoning herb
Hibiscus,hibiscus
Honey,blossom honey
Honey,honey
Honey,honey flavouring
Honey,honeydew honey
Honey,seasoning honey
Honey,honey bbq seasoning honey
Humectant,humectant
Humectant,humectant ins 451
Humectant,humectant ins 451(i)
Humectant,humectant ins 452
Hyaluronic Acid,hyaluronic acid
Hydrolyzed Vegetable Protein,dried vegetables hydrolysed vegetable protein
Hydrolyzed Vegetable Protein,hydrolysed vegetable protein
Hydrolyzed Vegetable Protein,hydrolyzed groundnut protein
Hydrolyzed Vegetable Protein,hydrolyzed vegetable protein
Hydrolyzed Vegetable Protein,hydrolyzed vegetable protein maltodextrin
Hydrolyzed Vegetable Protein,mixed masala powder hydrolyzed vegetable protein
Hydroxypropyl Methylcellulose (INS 464),stabilizer ins 464
Ice Cream,ice cream
Ice Cream,inner layer ice cream water
Ice Cream,inner layer ice cream liquid glucose
Ice Cream,kw slow churned chocolate ice cream
Improver Enzyme,improver enzyme
Ingredients,ingredients
Inositol,inositol
Inositol,milk solids inositol
Iodate,iodate
Iron,electrolytic iron
Jaggery,jaggery
Jaggery,jaggery powder
Jam,jam
Jamun,concentrated jamun juice
Jamun,jamun flavouring
Jamun,jamun pulp
Jowar (Sorghum),cereals jowar millet
Jowar (Sorghum),jowar
Jowar (Sorghum),jowar sorghuin
Jowar (Sorghum),millet flakes and puff mix jowar
Jowar (Sorghum),millet jowar meal
Jowar (Sorghum),millet puff mix jowar
Jowar (Sorghum),millets whole grain jowar
Jowar (Sorghum),mixed millet flour jowar flour
Jowar (Sorghum),multigrain flour blend jowar
Jowar (Sorghum),slurrp farm grain blend jowar
Jowar (Sorghum),slurrp farm organic grain blend jowar
Jowar (Sorghum),supergrain blend jowar
Juice Concentrate,juice concentrate
Kachri,dehydrated kachri
Kalonji,kalonji
Kalonji,kalonji seed
Kalonji,mixed spices kalonji
Kalonji,spices kalonji seed
Kewra,kewra flavouring
Khar,khar alkaline salt
Kiwi,kiwi juice concentrate
L-Carnitine,l-carnitine
L-Carnitine,milk solids l-carnitine
Lactic Acid (INS 270),acidity regulator ins 270
Lactobacillus,lactobacillus acidophilus
Lactobacillus,lactobacillus rhamnosus
Lactobacillus,lactobilus casei
Lactose,lactose
Lactose,lactose-rich deproteinized whey permeate powder
Lactose,seasoning lactose
Lactose,tikka masala seasoning lactose
Leavening Agent,biscuit leavening agent ins 500
Leavening Agent,biscuit leavening agent ins 5030
Leavening Agent,dried brownie and cookie pieces leavening agent ins 500
Leavening Agent,leavening agent ins 341
Leavening Agent,leavening agent ins 450
Leavening Agent,raising agent ins 341
Lecithin (INS 322),chocolate lecithin ins 322
Lecithin (INS 322),dark chocolate coverture soy lecithin
Lecithin (INS 322),emulsifier ins 322
Lecithin (INS 322),emulsifier ins 322 (1)
Lecithin (INS 322),emulsifier ins 322(i)
Lecithin (INS 322),emulsifier lecithin
Lecithin (INS 322),emulsifier lecithin rapeseed
Lecithin (INS 322),emulsifier lecithin soy
Lecithin (INS 322),emulsifier lecithin sunflower
Lecithin (INS 322),emulsifier lecithins
Lecithin (INS 322),emulsifier soy lecithin
Lecithin (INS 322),emulsifier soya lecithin
Lecithin (INS 322),emulsifier soya lecithins
Lecithin (INS 322),emulsifier sunflower lecithin
Lecithin (INS 322),emulsifier sunflower lecithins
Lecithin (INS 322),emulsifier – lecithin (soy)
Lecithin (INS 322),emulsifiers lecithins
Lecithin (INS 322),soy lecithin
Lecithin (INS 322),soya lecithin
Lecithin (INS 322),sunflower lecithin
Lecithin (INS 322),sunflower lecithins
Lecithin (INS 322),white chocolate emulsifier soy lecithin
Leek,dehydrated vegetables leeks
Lemon,concentrated lemon juice
Lemon,dehydrated fruits lemon
Lemon,extracts and oils lemon
Lemon,lemon
Lemon,lemon flavouring
Lemon,lemon fruit powder
Lemon,lemon juice
Lemon,lemon juice concentrate
Lemon,lemon juice powder
Lemon,lemon powder
Lemon,nimbu pani flavouring
Lemon,seasoning lemon powder
Lemongrass,lemongrass cymbopogon citratus leaf
Lemongrass,organic lemongrass leaf
Lentils,lentil
Lentils,lentil protein
Lentils,lentils
Lentils,masoor
Lentils,masoor dal split
Lentils,red lentils
Lentils,split yellow lentils
Lime,lime
Lime,lime flavouring
Lime,lime juice
Lime,mosambi juice concentrate
Lime,sweet lime mosambi juice concentrate
Liquorice,liquorice glycyrrhiza glabra bark
Liquorice,mulethi
Liquorice,mulethi licorice root
Litchi,litchi flavouring
Litchi,litchi pulp
Locust Bean Gum (INS 410),chocolate flavoured confectionery stabilizer ins 410
Locust Bean Gum (INS 410),inner layer ice cream stabilizer ins 410
Locust Bean Gum (INS 410),locust bean gum
Locust Bean Gum (INS 410),stabilizer ins 410
Locust Bean Gum (INS 410),stabilizer locust bean gum
Long Pepper,long pepper
Long Pepper,mixed spices long pepper powder
Long Pepper,pipali piper longum
Long Pepper,pippali
Long Pepper,pippali long pepper
Long Pepper,spices and condiments long pepper
Lotus Seeds,lotus seeds
Lotus Seeds,seeds lotus
Lubrication,lubrication
Lycopene,lycopene
Mace (Javitri),javitri mace
Mace (Javitri),mace
Mace (Javitri),mace four
Mace (Javitri),mace powder
Mace (Javitri),mix spices mace powder
Mace (Javitri),mixed spices mace powder
Mace (Javitri),spices mace
Mace (Javitri),spices and condiments mace
Mace (Javitri),spices and condiments mace powder
Mace (Javitri),turmeric mace
Mace (Javitri),ground spices and condiments mace
Magnesium,magnesium
Magnesium,magnesium hydrogen phosphate
Magnesium,magnesium oxide
Magnesium,magnesium phosphate dibasic
Magnesium,salts of magnesium
Magnesium Chloride,magnesium chloride
Maida,batter wheat flour
Maida,biscuit cone refined wheat flour maida
Maida,biscuit refined wheat flour maida
Maida,bread crumb refined wheat flour maida
Maida,bread crumbs wheat flour
Maida,breadcrumbs wheat flour
Maida,dal kachori wheat flour
Maida,dried brownie and cookie pieces refined wheat flour maida
Maida,dried vegetables wheat powder
Maida,fine wheat flour
Maida,fortified wheat flour calcium carbonate
Maida,fortified wheat flour iron
Maida,fortified wheat flour niacin
Maida,fortified wheat flour thiamin
Maida,fortified wheat flour thiamine
Maida,fortified wheat flour wheat flour
Maida,instant noodle powder maida refined wheat flour
Maida,instant noodle powder refined wheat flour maida
Maida,maida
Maida,noodle powder refined wheat flour
Maida,noodles: refined wheat flour maida
Maida,refined flour
Maida,refined flour maida
Maida,refined wheat flour
Maida,refined wheat flour maida
Maida,rice crispies wheat flour
Maida,wheat cocoa crispy balls refined wheat flour maida
Maida,wheat flour
Maida,wheat flour calcium
Maida,wheat flour iron
Maida,wheat flour maida
Maida,wheat flour niacin
Maida,wheat flour thiamin
Maida,wheat powder
Maida,wheatflour
Malic Acid (INS 296),acidity regulator ins 296
Malic Acid (INS 296),acidity regulator malic acid ins 296
Malic Acid (INS 296),acidulant ins 296
Malic Acid (INS 296),malic acid
Malic Acid (INS 296),malic acid ins 296
Malic Acid (INS 296),seasoning acidity regulator ins 296
Malic Acid (INS 296),seasoning malic acid
Malic Acid (INS 296),acidity regulator ins 196
Malt,malted wheat
Malt Extract,cereal extract
Malt Extract,malt extract
Malt Extract,malt extract solids
Malt Extract,milkotin malt extract
Malt Extract,rice crispies malt extract
Maltitol (INS 965),maltitol
Maltitol (INS 965),maltitol ins 965(i)
Maltodextrin,carrot cereal mix pieces maltodextrin
Maltodextrin,chocolate flavoured confectionery maltodextrin
Maltodextrin,corn maltodextrin
Maltodextrin,honey bbq seasoning maltodextrin
Maltodextrin,hydrolyzed vegetable protein maltodextrin
Maltodextrin,iodized salt maltodextrin
Maltodextrin,maltodextrin
Maltodextrin,milk solids maltodextrin
Maltodextrin,mixed masala powder maltodextrin
Maltodextrin,seasoning corn maltodextrin
Maltodextrin,seasoning maltodextrin
Maltodextrin,soya sauce powder maltodextrin
Maltodextrin,thickener maltodextrin
Maltodextrin,tikka masala seasoning maltodextrin
Maltodextrin,wheat maltodextrin
Manganese Sulphate,manganese sulphate
